Comments	Pardis	Mina	Yasmin	Average	P_Deviation	M_Deviation	Y _Deviation	P_mislabeling	M_mislabeling	Y_mislabeling	Natalie	Labels	
I'm not even sure I have depression, I think this may just be 'me'.	3	4	4	3.666666667	0.6666666667	0.3333333333	0.3333333333					3.666666667	
I have always been pretty useless socially, but have had a normal upbringing, no horrible experiences, have gone through education fine and even got jobs but I've never enjoyed life, never really cared and normally feel like I'm not really worth anything	4	4	4	4	0	0	0					4	
and, inevitably enventually, will become a burden.	2	0	0	0.6666666667	1.333333333	0.6666666667	0.6666666667					0.6666666667	
I'm not going to be dramatic and say I'm going to end it, it sounds so pathetic (no offence intended to anyone) but I have thoughts of 'going' or even dreams that I could die 'blamelessly' thorugh accident or illness. Selfish I know.	4	3	4	3.666666667	0.3333333333	0.6666666667	0.3333333333					3.666666667	
I have a cycle. Get job, put on confident easy going persona, get physically tired from doing that, lose energy to maintain job, focus on negative, leave job in some form (fired/quit). Friends are much the same, play easy going fun, can't keep it up, lose or push them away. Relationships, get attracted to ones who need help, help them in anyway I can, get to a point where I feel I am no more use so should go as they'd be ultimately better off.	4	4	3	3.666666667	0.3333333333	0.3333333333	0.6666666667					3.666666667	
So, currently I've quit my job as a teacher, couldn't take it - always something to improve and with my way of thinking that just sounds like constantly someone telling you you're useless (and it backing up your own thoughts anyway) but even though I liked aspects of my job I don't think I had a passion like I see in others. I felt I'd let everyone down so disappeared, my partner/ parents got me through immediate days after my sudden departure from work and saw Doc who was nice enough - put me on medication which seemed to do very little - even after a few months. In fact it only had negative side effects so about three weeks ago I stopped taking them completely. I also started seeing a CBT person about three/four session ago but this feels like it's doing nothing at all either, we talk, I'm honest as I can be but there is some element of being 'public' and putting on that face/ jokey responses.	5	5	5	5	0	0	0					5	
I dip between a wish to not be around that is forever there and seems to be backed up with wholly logical reasons that people genuinely struggle to refute to absolutely crashing panic attacks/ given up when my 'theories' are proved.	5	5	4	4.666666667	0.3333333333	0.3333333333	0.6666666667					4.666666667	
I know this sounds odd, but I don't even have the will to get 'better', largely because I don't think I can. I am just 'me'. I am negative, boring and even if it is all just selffullfillng profecies - it's still me who has done that. I'm not blaming life, or others or anything else.	2	4	4	3.333333333	1.333333333	0.6666666667	0.6666666667					3.333333333	
A lot of the posts I read on here seem to have good reason; PTS, loss, finances etc - does anyone have no 'good' reason?	0	0	0	0	0	0	0					0	
I just feel I'm never going to be happy, I am soon to be much a burden on those around me (my gf) and that, in the long run, it'd be better for all if I just went. I know my family and gf love me - but time heals, life would get better and people move on. In the long run I'm sure it wouldn't effect my family and 100% sure my gf would be better off.	4	2	4	3.333333333	0.6666666667	1.333333333	0.6666666667					3.333333333	
Not sure if there is an answer for this, just writing. I'm not angry, I'm not hurt, I'm not even sad as such, I'm just tired...	2	2	1	1.666666667	0.3333333333	0.3333333333	0.6666666667					1.666666667	
"oh im so sorry to read all this, i pretty much feel the same as you, and i often think i wish i never was born, and i find my life a total diseaster, all the wrong decisions i made...im very depressed, taking medication, see counsellor, but in the end its all up to yourself..	5	5	5	5	0	0	0					5	
i wish you all the strength x	0	0	0	0	0	0	0					0	
"Thank you. I wish you luck too. I'm sure you've made some right decisions. Wouldn't it be nice to read about someone who 'recovered' or will we have to live this til the end?	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
"yes...it woukd be very nice to read about someone who has been suffering from depr. and is now feeling happy and normal again	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
"You have taken the first step and that is asking for help. It can always be worse. It sounds like you are extremely depressed. I too have had problems keeping jobs and friends.. when I got to the point to where I wanted to end my life, I did something that I've always wanted to do. I went skydiving and all my big problems became very small. I think facing death in an indirect way helped turn my life around. Every time I got to the point to where I was depressed I would go skydiving again. About seven years ago I didn't think it to get worse but I got Dystonia torticollis, that's where your muscles start pulling the wrong way. My head lies on my shoulder and I'm in extreme pain all the time. In between being depressed and getting torticollis I actually became successful until I got torticollis. Please try skydiving jumping out of a plane will help. And remember it can always get worse. If you realize how lucky you are and that ""the big problems in life are really not as big as what you think"" I am now broke and I'm worse off than I've ever been but I feel everyday is a gift. Even though I'm in extreme pain and my body is distorted now for some reason I want to live every minute that I possibly can. Just remember it could always be worse. Merry Christmas	5	5	5	5	0	0	0					5	
"What a fantastic answer, but also a really bad one!! Let me explain...	0	0	0	0	0	0	0					0	
​Firstly I'm very pleased to see you are happy and treat every day as a gift. Obviously I'm sorry you have such daily physical problems but I'm sure that makes you even happier you did the skydiving when you did. I'm really pleased what you did worked for you and it's encouraging to find a rare example of someone who has somewhat defeated depression even if the cost of that has been quite extreme.	0	0	0	0	0	0	0					0	
​But then on the same hand, not recognising how lucky I am isn't the problem, it's knowing that I am and I'm still not feeling good which then further compounds how bad I feel about myself. I know I'm luckier than most, I know things could be worse, I live in an affluent country with water on tap, have good health and had a normal upbringing with no major traumas. So knowing this makes me feel EVEN worse about myself. I see I'm selfish, and ungrateful, and petty and all other words - why can't I just be happy?	3	4	3	3.333333333	0.3333333333	0.6666666667	0.3333333333					3.333333333	
​I've put my life on the line a few times, both within the safety confines of organised activities and on the less controlled activities I may do myself - it doesn't help me. Being near death doesn't impact me positively or negatively - I'm almost apathetic to it.	3	3	1	2.333333333	0.6666666667	0.6666666667	1.333333333					2.333333333	
​And this is why your answer is both fantastic and bad! For you, and others it may work. You are obviously an inspiration to lots of people not only for the physical issues (which are almost a separate issue) but for the fact you have altered your way of thinking in a positive manner. But they also highlight how everyone's issues are unique - and as well intentioned, and even correct, your view that it could be worse it, that can actually make people feel worse.	0	0	0	0	0	0	0					0	
​If we all focused on 'it could be worse' they'd be very few people in this world who could complain, unfortunately it's not that simple. This depression doesn't care that I'm lucky, it just cares that I think badly of myelf and reminds me of it every day and actually accelerates when I speak to people who could argue they do have a good reason to feel bad. I know I don't - and that makes it even worse.	5	4	5	4.666666667	0.3333333333	0.6666666667	0.3333333333					4.666666667	
​Thanks for your reply, I hope I didn't come across aggressively! I'm very happy that you are happy and hope things improve if that's possible for you. Good luck, have a great Christmas and a lovely New Year.	0	0	0	0	0	0	0					0	
"Well, from reading your stuff here it would appear that we think in a similar fashion. Quite obvious really, otherwise why was I searching for other's thoughts on 'being tired of life'!	4	3	2	3	1	0	1					3	
Anyway, having read all of your posts here I'd like to say that I appreciate someone taking the time to punctuate as properly as someone can be reasonably expected to.	0	0	0	0	0	0	0					0	
I read someone here say to get some 'less stressful' work like in a warehouse or something similar, well, let me tell that person that any and all work which involves interaction with other humans is highly stressful, incredibly tiring and seemingly ultimately pointless!	3	0	0	1	2	1	1	INVALID			0	0	
